id,highway,name,oneway,lit,lanes,maxspeed,railway,boundary,access,natural,barrier,tunnel,bridge,incline,waterway,busway,toll
5168803,primary,,yes,yes,3,60,,,,,,,,,,,
5203794,tertiary,,yes,,,,,,,,,,,,,,
5203817,tertiary,,no,,,,,,,,,,,,,,
5203818,tertiary,,yes,,2,50,,,,,,,,,,,
5203828,residential,,yes,,,,,,,,,,,,,,
5203829,residential,,yes,,,,,,,,,,,,,,
5203837,residential,,yes,,,,,,,,,,,,,,
5203845,residential,,yes,,,,,,,,,,,,,,
5203859,residential,,yes,,,,,,,,,,,,,,
5208726,secondary,,yes,,,,,,,,,,,,,,
5209166,primary,,yes,yes,3,,,,,,,,,,,,
5209181,secondary,,yes,,,,,,,,,,,,,,
5209449,motorway_link,,yes,yes,2,,,,,,,,,,,,yes
5209458,motorway_link,,yes,yes,2,60,,,,,,,,,,,
5209488,motorway_link,,yes,yes,2,40,,,,,,,,,,,yes
5214460,primary,,yes,yes,3,,,,,,,,,,,,
5214469,primary,,yes,yes,3,,,,,,,,,,,,
5214471,secondary,,yes,yes,4,,,,,,,,,,,,
5399195,primary_link,,yes,yes,2,,,,,,,,,,,,
5656359,primary,,yes,yes,4,,,,,,,,,,,,
5656493,service,,yes,,1,,,,,,,,,,,,
5656636,primary,,yes,yes,3,,,,,,,,,,,,
5728492,primary_link,,yes,yes,3,,,,,,,,,,,,
5728512,secondary,,yes,,,,,,,,,,,,,,
5728970,primary,,yes,yes,2,,,,,,,,,,,,
5839602,secondary_link,,yes,,1,,,,,,,,,,,,
8181836,residential,,,,,,,,,,,,,,,,
8181838,residential,,,,,,,,,,,,,,,,
10741722,tertiary,,yes,,,,,,,,,,,,,,
10741726,residential,,yes,,,,,,,,,,,,,,
10741731,residential,,yes,,,,,,,,,,,,,,
10741733,secondary,,yes,yes,3,,,,,,,,,,,,
10741734,secondary,,yes,,,,,,,,,,,,,,
10741736,residential,,yes,,,,,,,,,,,,,,
10741746,tertiary,,yes,,,,,,,,,,,,,,
10741747,secondary,,yes,,,,,,,,,,,,,,
10741751,tertiary,,yes,,,,,,,,,,,,,,
10741754,secondary,,yes,,,,,,,,,,,,,,
10741757,residential,,yes,,,,,,,,,,,,,,
10741758,tertiary,,-1,,,,,,,,,,,,,,
10741759,residential,,yes,,,,,,,,,,,,,,
10741760,secondary,,yes,,,,,,,,,,,,,,
10741762,pedestrian,,,,,,,,,,,,,,,,
10741763,residential,,yes,,,,,,,,,,,,,,
10742179,,,,,,,rail,,,,,,,,,,
10742180,,,,,,,rail,,,,,,,,,,
10742774,,,,,,,rail,,,,,,,,,,
10743224,,,,,,,disused,,,,,,,,,,
10743225,,,,,,,disused,,,,,,,,,,
10971761,residential,,yes,,,,,,,,,,,,,,
10971763,secondary,,yes,,,,,,,,,,,,,,
10971764,residential,,yes,,,,,,,,,,,,,,
10971765,residential,,yes,,,,,,,,,,,,,,
10971766,secondary,,yes,,,,,,,,,,,,,,
10971767,residential,,yes,,,,,,,,,,,,,,
10971769,residential,,,,,,,,,,,,,,,,
10971776,residential,,yes,,,,,,,,,,,,,,
10971781,steps,,,,,,,,,,,,,,,,
10971782,residential,,yes,,,,,,,,,,,,,,
10972181,residential,,yes,,,,,,,,,,,,,,
10972183,pedestrian,,,,,,,,,,,,,,,,
10972185,residential,,yes,,,,,,,,,,,,,,
10972561,residential,,yes,,,,,,,,,,,,,,
10972563,residential,,,,,,,,,,,,,,,,
10972564,residential,,,,,,,,,,,,,,,,
10972565,residential,,,,,,,,,,,,,,,,
10973181,,,,,,,,,,,,,,,,,
10974932,,,,,,,subway,,,,,,,,,,
10976007,tertiary,,yes,,,,,,,,,,,,,,
10976008,residential,,yes,,,,,,,,,,,,,,
10976009,residential,,yes,,,,,,,,,,,,,,
10976012,residential,,,,,,,,,,,,,,,,
10976420,residential,,yes,,,,,,,,,,,,,,
10976421,residential,,yes,,,,,,,,,,,,,,
10976427,service,,,,,,,,,,,,,,,,
10976428,residential,,yes,,,,,,,,,,,,,,
10976429,residential,,yes,,,,,,,,,,,,,,
10976430,residential,,,,,,,,,,,,,,,,
10976431,residential,,,,,,,,,,,,,,,,
10976432,tertiary,,yes,,,,,,,,,,,,,,
10976433,tertiary,,no,,4,,,,,,,,,,,,
10976435,tertiary,,,,4,,,,,,,,,,,,
10976951,residential,,,,,,,,,,,,,,,,
10976954,tertiary,,yes,,,,,,,,,,,,,,
10976958,residential,,yes,,,,,,,,,,,,,,
10976960,tertiary,,yes,,,,,,,,,,,,,,
10976967,tertiary,,yes,,,,,,,,,,,,,,
10976970,residential,,yes,,,,,,,,,,,,,,
10976971,residential,,yes,,,,,,,,,,,,,,
10976972,residential,,,,,,,,,,,,,,,,
11031663,residential,,yes,,,,,,,,,,,,,,
11031664,residential,,yes,,,,,,,,,,,,,,
11031665,residential,,yes,,,,,,,,,,,,,,
11031667,residential,,yes,,,,,,,,,,,,,,
11031672,pedestrian,,,,,,,,,,,,,,,,
11031680,secondary,,no,yes,,,,,,,,,,,,,
11031684,residential,,yes,,,,,,,,,,,,,,
11031685,residential,,,,,,,,,,,,,,,,
11033928,,,,,,,rail,,,,,,yes,,,,
11713131,steps,,,,,,,,,,,,,,,,
15220170,secondary,,yes,,,,,,,,,,,,,,
15220369,secondary,,yes,yes,2,40,,,,,,,,,,,
15220432,residential,,yes,,,,,,,,,,,,,,
15371919,motorway,,yes,yes,3,,,,,,,,,,,,
15371933,motorway,,yes,yes,4,,,,,,,,yes,,,,
15371938,motorway,,yes,yes,4,,,,,,,,yes,,,,
15372175,motorway,,yes,yes,3,,,,,,,,,,,,
15412852,trunk,,yes,yes,,,,,,,,,yes,,,,
15414502,primary,,yes,yes,,,,,,,,,,,,,
15469038,primary,,yes,yes,,,,,,,,,,,,,
15590218,primary,,yes,,,,,,,,,,,,,,
15591226,primary,,yes,yes,2,,,,,,,,,,,,
15591405,secondary,,yes,,,,,,,,,,,,,,
15591437,residential,,yes,,,,,administrative,,,,,,,,,
15591903,motorway,,yes,yes,,,,,,,,,,,,,
15592304,motorway,,yes,yes,,,,,,,,,,,,,
15593349,secondary,,yes,yes,3,50,,,,,,,,,,,
15594006,secondary,,yes,yes,1,,,,,,,,,,,,
15594032,primary_link,,yes,yes,2,60,,,,,,,,,,,
16945477,secondary_link,,yes,,,,,,,,,,,,,,
16945479,secondary,,yes,,,,,,,,,,,,,,
16946833,secondary,,yes,,,50,,,,,,,,,,,
16946836,secondary,,yes,,,,,,,,,,,,,,
16946837,residential,,yes,,,,,,,,,,,,,,
16946841,tertiary,,yes,,,,,,,,,,,,,,
16946842,residential,,yes,,,,,,,,,,,,,,
16994325,tertiary,,,,,,,,,,,,,,,,
16994456,footway,,,,,,,,,,,,,,,,
16994673,service,,,,,,,,,,,,,,,,
20130215,residential,,yes,,,,,,,,,,,,,,
20140573,residential,,yes,,,,,,,,,,,,,,
20140660,residential,,yes,,,,,,,,,,,,,,
20140853,primary,,yes,yes,,,,,,,,,,,,,
20141054,primary,,yes,yes,,,,,,,,,,,,,
20142627,residential,,yes,,,,,,,,,,,,,,
20142815,service,,,,,,,,,,,,,,,,
20143083,primary,,yes,yes,3,,,,,,,,,,,,
20143653,secondary_link,,yes,yes,,,,,,,,,,,,,
20143864,residential,,yes,,,,,,,,,,,,,,
20143936,residential,,yes,,,,,,,,,,,,,,
20144228,residential,,yes,,,,,,,,,,,,,,
20144411,residential,,yes,,,,,,,,,,,,,,
20144587,unclassified,,,,,,,,,,,,,,,,
20145038,tertiary,,yes,,,,,,,,,,,,,,
20146783,residential,,,,,,,,,,,,,,,,
20146903,pedestrian,,,yes,,,,,,,,,,,,,
20146994,pedestrian,,,yes,,,,,,,,,,,,,
20147361,residential,,yes,,,,,,,,,,,,,,
21275269,residential,,yes,,,,,administrative,,,,,,,,,
21568302,tertiary,,yes,yes,2,50,,,,,,,,,,,
21568724,tertiary,,yes,,,,,,,,,,,,,,
22561388,residential,,no,,,,,,,,,,,,,,
22561418,tertiary,,yes,,2,,,,,,,,,,,,
22757703,residential,,,,,,,,,,,,,,,,
23180117,secondary,,yes,yes,1,50,,,,,,,,,,,
23180324,residential,,,,,,,,,,,,,,,,
23180337,residential,,,,,,,,,,,,,,,,
23180344,tertiary,,yes,,,,,,,,,,,,,,
23180349,tertiary,,yes,,,,,,,,,,,,,,
23180503,primary,,yes,yes,4,90,,,,,,,,,,,
23180531,,,,,,,rail,,,,,,,,,,
23180582,primary,,yes,yes,2,,,,,,,,,,,,
23181674,secondary,,yes,yes,2,,,,,,,,,,,,
23181703,residential,,yes,,,,,,,,,,,,,,
23181705,residential,,yes,,,,,,,,,,,,,,
23181711,residential,,yes,,,,,,,,,,,,,,
23181762,residential,,yes,,,,,,,,,,,,,,
23181765,residential,,yes,,,,,,,,,,,,,,
23181771,residential,,yes,,,,,,,,,,,,,,
23181773,tertiary,,yes,,,,,,,,,,,,,,
23181782,residential,,,,,,,,,,,,,,,,
23181786,residential,,,,,,,,,,,,,,,,
23181790,residential,,,,,,,,,,,,,,,,
23181854,footway,,,,,,,,,,,,yes,,,,
23181858,footway,,,,,,,,,,,,yes,,,,
23181870,secondary_link,,yes,,1,50,,,,,,,,,,,
23181902,residential,,,,,,,,,,,,,,,,
23181904,residential,,yes,,,,,,,,,,,,,,
23181914,residential,,yes,,,,,,,,,,,,,,
23181915,tertiary,,yes,,,,,,,,,,,,,,
23181920,pedestrian,,no,,,,,,,,,,,,,,
23181935,residential,,yes,,,,,,,,,,,,,,
23181936,residential,,,,,,,,,,,,,,,,
23181941,residential,,yes,,,,,,,,,,,,,,
23181950,residential,,yes,,,,,,,,,,,,,,
23181995,tertiary,,,yes,4,,,,,,,,,,,,
23182021,tertiary,,yes,,,,,,,,,,,,,,
23182036,residential,,yes,,,,,,,,,,,,,,
23182039,residential,,yes,,,,,,,,,,,,,,
23182041,residential,,yes,,,,,,,,,,,,,,
23182096,residential,,,,,,,,,,,,,,,,
23182123,residential,,no,,,,,,,,,,,,,,
23182126,residential,,yes,,,,,,,,,,,,,,
23182132,residential,,yes,,,,,,,,,,,,,,
23182139,residential,,yes,,,,,,,,,,,,,,
23182186,tertiary,,yes,,,,,,,,,,,,,,
23182191,residential,,yes,,,,,,,,,,,,,,
23182200,tertiary,,yes,,,,,postal_code,,,,,,,,,
23182205,tertiary,,no,,,,,,,,,,,,,,
23182210,residential,,yes,,,,,,,,,,,,,,
23182218,residential,,yes,,,,,,,,,,,,,,
23182226,residential,,yes,,,,,,,,,,,,,,
23182231,residential,,,,,,,,,,,,,,,,
23182254,residential,,yes,,,,,,,,,,,,,,
23182282,residential,,yes,,,,,,,,,,,,,,
23182286,residential,,yes,,,,,,,,,,,,,,
23182287,residential,,yes,,,,,,,,,,,,,,
23182290,residential,,yes,,,,,,,,,,,,,,
23182291,residential,,yes,,,,,,,,,,,,,,
23182295,residential,,yes,,,,,,,,,,,,,,
23182297,residential,,,,,,,,,,,,,,,,
23182298,residential,,,,,,,,,,,,,,,,
23182321,residential,,yes,,,,,,,,,,,,,,
23182328,,,,,,,,administrative,,,,,,,,,
23182341,residential,,,,,,,,,,,,,,,,
23182343,residential,,,,,,,,,,,,,,,,
23182345,residential,,yes,,,,,,,,,,,,,,
23182381,residential,,yes,,,,,,,,,,,,,,
23182422,residential,,yes,,,,,,,,,,,,,,
23182424,residential,,yes,,,,,,,,,,,,,,
23182446,residential,,,,,,,,,,,,,,,,
23182455,residential,,,,,,,,,,,,,,,,
23182464,residential,,,,,,,,,,,,,,,,
23182469,residential,,,,,,,,,,,,,,,,
23182475,pedestrian,,,,,,,,,,,,,,,,
23182479,residential,,yes,,,,,,,,,,,,,,
23182483,residential,,,,,,,,,,,,,,,,
23182489,residential,,yes,,,,,,,,,,,,,,
23182490,residential,,,,,,,,,,,,,,,,
23182495,residential,,,,,,,,,,,,,,,,
23182499,residential,,yes,,,,,,,,,,,,,,
23182506,residential,,,,,,,,,,,,,,,,
23182509,residential,,,,,,,,,,,,,,,,
23182511,residential,,yes,,,,,,,,,,,,,,
23182515,tertiary,,no,,,,,,,,,,,,,,
23182519,tertiary,,yes,,,,,,,,,,,,,,
23182520,residential,,yes,,,,,,,,,,,,,,
23182522,residential,,no,,,,,,,,,,,,,,
23182526,residential,,yes,,,,,,,,,,,,,,
23182532,pedestrian,,,,,,,,,,,,,,,,
23182543,residential,,yes,,,,,,,,,,,,,,
23182555,tertiary,,no,,,,,,,,,yes,,,,,
23182556,tertiary,,yes,,,,,,,,,,,,,,
23182559,secondary,,yes,yes,1,50,,,,,,yes,,,,,
23182560,secondary,,yes,yes,,50,,,,,,yes,,,,,
23182561,secondary,,yes,yes,2,50,,,,,,,,,,,
23182581,primary,,yes,,,,,,,,,yes,,,,,
23182583,primary,,yes,,,,,,,,,,,,,,
23182586,primary,,yes,,,,,,,,,yes,,,,,
23182591,primary_link,,yes,,1,30,,,,,,,,,,,
23182600,secondary,,yes,yes,2,50,,,,,,,yes,,,,
23182620,tertiary,,yes,,,,,,,,,,,,,,
23182626,tertiary,,yes,,,,,,,,,,,,,,
23182627,tertiary,,yes,,,,,,,,,,yes,,,,
23182633,tertiary,,yes,,,,,,,,,,,,,,
23182705,residential,,yes,,,,,,,,,,,,,,
23182720,residential,,,,,,,,,,,,,,,,
23182726,residential,,yes,,,,,,,,,,,,,,
23182767,primary,,yes,yes,6,,,,,,,,,,,,
23182769,residential,,yes,,,,,,,,,,,,,,
23182771,residential,,yes,,,,,,,,,,,,,,
23182774,residential,,yes,,,,,,,,,,,,,,
23182775,residential,,,,,,,,,,,,,,,,
23182790,pedestrian,,,,,,,,,,,,,,,,
23182796,tertiary,,yes,,,,,,,,,,,,,,
23182798,residential,,yes,,,,,,,,,,,,,,
23182806,secondary,,yes,,,,,,,,,,,,,,
23182816,primary,,yes,yes,,,,,,,,,,,,,
23182833,residential,,yes,,,,,,,,,,,,,,
23182837,residential,,yes,,,,,,,,,,,,,,
23182838,residential,,yes,,,,,,,,,,,,,,
23182843,residential,,yes,,,,,,,,,,,,,,
23182847,secondary,,yes,,,,,,,,,,,,,,
23182848,tertiary,,yes,,,,,,,,,,,,,,
23182850,residential,,yes,,,,,,,,,,,,,,
23182962,primary,,yes,yes,,,,,,,,,,,,,
23182965,primary,,yes,yes,5,,,,,,,,,,,,
23182987,primary,,yes,yes,,,,,,,,,,,,,
23182990,primary,,yes,yes,,,,,,,,,,,,,
23183166,,,,,,,subway,,,,,yes,,,,,
23183271,residential,,yes,,,,,,,,,,,,,,
23183273,tertiary,,yes,,,,,,,,,,,,,,
23183278,tertiary,,yes,,2,,,,,,,,,,,,
23183364,tertiary,,yes,,,,,,,,,,,,,,
23183366,residential,,yes,,,,,,,,,,,,,,
23183369,tertiary,,yes,,,,,,,,,,,,,,
23183371,tertiary,,yes,,,,,,,,,,,,,,
23183380,residential,,yes,,,,,,,,,,,,,,
23183390,residential,,yes,,,,,,,,,,,,,,
23183631,,,,,,,,,,,,,,,,,
23183808,tertiary,,yes,,,,,,,,,,,,,,
23183845,residential,,yes,,,,,,,,,,,,,,
23183852,tertiary,,yes,yes,,,,,,,,,,,,,
23183910,pedestrian,,,,,,,,,,,,,,,,
23183922,residential,,yes,,,,,,,,,,,,,,
23183924,pedestrian,,,,,,,,,,,,,,,,
23183929,residential,,,,,,,,,,,,,,,,
23183931,residential,,yes,,,,,,,,,,,,,,
23183936,pedestrian,,,,,,,,,,,,,,,,
23183939,residential,,yes,,,,,,,,,,,,,,
23183940,residential,,yes,,,,,,,,,,,,,,
23183949,residential,,yes,,,,,,,,,,,,,,
23183960,residential,,yes,,,,,,,,,,,,,,
23183961,residential,,yes,,,,,,,,,,,,,,
23183966,pedestrian,,,,,,,,,,,,,,,,
23183967,service,,yes,,,,,,,,,,,,,,
23183970,tertiary,,yes,,2,,,,,,,,,,,,
23183977,residential,,yes,,,,,,,,,,,,,,
23183981,residential,,yes,,,,,,,,,,,,,,
23183991,residential,,yes,,,,,,,,,,,,,,
23183996,pedestrian,,,yes,,,,,,,,,,,,,
23184016,residential,,yes,,,,,,,,,,,,,,
23184048,residential,,,,,,,,,,,,,,,,
23184058,residential,,,,,,,,,,,,,,,,
23184060,residential,,yes,,,,,,,,,,,,,,
23184093,residential,,,,,,,,,,,,,,,,
23184102,residential,,yes,,,,,,,,,,,,,,
23184105,residential,,,,,,,,,,,,,,,,
23184108,residential,,yes,,,,,,,,,,,,,,
23184111,residential,,yes,,,,,,,,,,,,,,
23184115,residential,,,,,,,,,,,,,,,,
23184125,residential,,,,,,,,,,,,,,,,
23184127,tertiary,,yes,,,,,,,,,,,,,,
23184128,tertiary,,,,,,,,,,,,,,,,
23184133,residential,,,,,,,,,,,,,,,,
23184137,pedestrian,,,,,,,,,,,,,,,,
23184141,residential,,,,,,,,,,,,,,,,
23184144,residential,,,,,,,,,,,,,,,,
23184148,residential,,yes,,,,,,,,,,,,,,
23184151,tertiary,,,,,,,,,,,,,,,,
23184166,residential,,yes,,,,,,,,,,,,,,
23184174,residential,,,,,,,,,,,,,,,,
23184181,tertiary,,yes,,,,,,,,,,,,,,
23184187,residential,,yes,,,,,,,,,,,,,,
23184195,residential,,,,,,,,,,,,,,,,
23184197,residential,,,,,,,,,,,,,,,,
23184198,residential,,,,,,,,,,,,,,,,
23184213,residential,,,,,,,,,,,,,,,,
23184216,residential,,yes,,,,,,,,,,,,,,
23184225,residential,,yes,,,,,,,,,,,,,,
23184258,pedestrian,,,,,,,,,,,,,,,,
23184312,tertiary,,yes,yes,,,,,,,,,,,,,
23184319,tertiary,,yes,yes,,,,,,,,,,,,,
23184325,tertiary,,yes,yes,,,,,,,,,,,,,
23184331,tertiary,,yes,yes,,,,,,,,,,,,,
23184332,tertiary,,yes,24/7,,,,,,,,yes,,,,,
23184333,tertiary,,yes,24/7,,,,,,,,yes,,,,,
23184372,secondary,,yes,,,30,,,,,,,,,,,
23184413,tertiary,,yes,,,,,,,,,,,,,,
23184427,tertiary,,yes,,,,,,,,,,,,,,
23184448,tertiary,,yes,,,,,,,,,,,,,,
23184527,secondary_link,,yes,yes,,,,,,,,,,,,,
23184529,motorway_link,,yes,yes,,,,,,,,,yes,,,,
23184536,motorway_link,,yes,yes,,,,,,,,,,,,,
23184538,secondary_link,,yes,yes,,,,,,,,,,,,,
23184542,motorway_link,,yes,yes,,,,,,,,,,,,,
23184548,motorway_link,,yes,yes,,,,,,,,,,,,,
23184568,footway,,,,,,,,,,,,yes,,,,
23184582,footway,,,,,,,,,,,,yes,,,,
23184593,motorway_link,,yes,yes,,,,,,,,,,,,,
23184597,secondary,,yes,yes,,,,,,,,,,,,lane,
23184599,secondary,,yes,yes,3,50,,,,,,,,,,,
23184603,motorway_link,,yes,yes,1,,,,,,,,,,,,
23184604,motorway_link,,yes,yes,2,,,,,,,,,,,,
23184607,trunk_link,,yes,yes,2,,,,,,,,,,,,
23184637,motorway,,yes,yes,4,,,,,,,,,,,,
23184691,primary,,yes,yes,,50,,,,,,,,,,,
23184703,trunk,,yes,yes,,,,,,,,,yes,,,,
23184736,trunk,,yes,yes,2,50,,,,,,,,,,,
23184740,trunk,,yes,yes,2,50,,,,,,,,,,,
23184741,trunk,,yes,yes,2,50,,,,,,,,,,,
23184751,trunk,,yes,yes,2,50,,,,,,yes,,,,,
