id,name,traffic_info
5168803,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5203794,,
5203817,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5203818,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5203828,,
5203829,,
5203837,,
5203845,,
5203859,,
5208726,,
5209166,,
5209181,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5209449,,
5209458,,
5209488,,
5214460,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5214469,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5214471,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5399195,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5656359,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5656493,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5656636,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5728492,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5728512,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5728970,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
5839602,,
8181836,,
8181838,,
10741722,,
10741726,,
10741731,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
10741733,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
10741734,,
10741736,,
10741746,,
10741747,,
10741751,,
10741754,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
10741757,,
10741758,,
10741759,,
10741760,,
10741762,,
10741763,,
10742179,,
10742180,,
10742774,,
10743224,,
10743225,,
10971761,,
10971763,,
10971764,,
10971765,,
10971766,,
10971767,,
10971769,,
10971776,,
10971781,,
10971782,,
10972181,,
10972183,,
10972185,,
10972561,,
10972563,,
10972564,,
10972565,,
10973181,,
10974932,,
10976007,,
10976008,,
10976009,,
10976012,,
10976420,,
10976421,,
10976427,,
10976428,,
10976429,,
10976430,,
10976431,,
10976432,,
10976433,,
10976435,,
10976951,,
10976954,,
10976958,,
10976960,,
10976967,,
10976970,,
10976971,,
10976972,,
11031663,,
11031664,,
11031665,,
11031667,,
11031672,,
11031680,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
11031684,,
11031685,,
11033928,,
11713131,,
15220170,,
15220369,,
15220432,,
15371919,,
15371933,,
15371938,,
15372175,,
15412852,,
15414502,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
15469038,,
15590218,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
15591226,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
15591405,,
15591437,,
15591903,,
15592304,,
15593349,,
15594006,,
15594032,,
16945477,,
16945479,,
16946833,,
16946836,,
16946837,,
16946841,,
16946842,,
16994325,,
16994456,,
16994673,,
20130215,,
20140573,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
20140660,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
20140853,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
20141054,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
20142627,,
20142815,,
20143083,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
20143653,,
20143864,,
20143936,,
20144228,,
20144411,,
20144587,,
20145038,,
20146783,,
20146903,,
20146994,,
20147361,,
21275269,,
21568302,,
21568724,,
22561388,,
22561418,,
22757703,,
23180117,,
23180324,,
23180337,,
23180344,,
23180349,,
23180503,,
23180531,,
23180582,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23181674,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23181703,,
23181705,,
23181711,,
23181762,,
23181765,,
23181771,,
23181773,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23181782,,
23181786,,
23181790,,
23181854,,
23181858,,
23181870,,
23181902,,
23181904,,
23181914,,
23181915,,
23181920,,
23181935,,
23181936,,
23181941,,
23181950,,
23181995,,
23182021,,
23182036,,
23182039,,
23182041,,
23182096,,
23182123,,
23182126,,
23182132,,
23182139,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182186,,
23182191,,
23182200,,
23182205,,
23182210,,
23182218,,
23182226,,
23182231,,
23182254,,
23182282,,
23182286,,
23182287,,
23182290,,
23182291,,
23182295,,
23182297,,
23182298,,
23182321,,
23182328,,
23182341,,
23182343,,
23182345,,
23182381,,
23182422,,
23182424,,
23182446,,
23182455,,
23182464,,
23182469,,
23182475,,
23182479,,
23182483,,
23182489,,
23182490,,
23182495,,
23182499,,
23182506,,
23182509,,
23182511,,
23182515,,
23182519,,
23182520,,
23182522,,
23182526,,
23182532,,
23182543,,
23182555,,
23182556,,
23182559,,
23182560,,
23182561,,
23182581,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182583,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182586,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182591,,
23182600,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182620,,
23182626,,
23182627,,
23182633,,
23182705,,
23182720,,
23182726,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182767,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182769,,
23182771,,
23182774,,
23182775,,
23182790,,
23182796,,
23182798,,
23182806,,
23182816,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182833,,
23182837,,
23182838,,
23182843,,
23182847,,
23182848,,
23182850,,
23182962,,
23182965,,
23182987,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23182990,,
23183166,,
23183271,,
23183273,,
23183278,,
23183364,,
23183366,,
23183369,,
23183371,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23183380,,
23183390,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23183631,,
23183808,,
23183845,,
23183852,,
23183910,,
23183922,,
23183924,,
23183929,,
23183931,,
23183936,,
23183939,,
23183940,,
23183949,,
23183960,,
23183961,,
23183966,,
23183967,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23183970,,
23183977,,
23183981,,
23183991,,
23183996,,
23184016,,
23184048,,
23184058,,
23184060,,
23184093,,
23184102,,
23184105,,
23184108,,
23184111,,
23184115,,
23184125,,
23184127,,
23184128,,
23184133,,
23184137,,
23184141,,
23184144,,
23184148,,
23184151,,
23184166,,
23184174,,
23184181,,
23184187,,
23184195,,
23184197,,
23184198,,
23184213,,
23184216,,
23184225,,
23184258,,
23184312,,
23184319,,
23184325,,
23184331,,
23184332,,
23184333,,
23184372,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184413,,
23184427,,
23184448,,
23184527,,
23184529,,
23184536,,
23184538,,
23184542,,
23184548,,
23184568,,
23184582,,
23184593,,
23184597,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184599,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184603,,
23184604,,
23184607,,
23184637,,
23184691,,
23184703,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184736,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184740,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184741,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184751,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184754,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184757,,
23184760,,
23184772,,
23184774,,
23184776,,
23184823,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184824,,
23184834,,
23184835,,09:00-11:00=high|13:00-15:00=low|17:00-19:00=high
23184837,,09:00-11:00=high|13:00-15:00=low|17:00-19:00=high
23184908,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184912,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184913,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184916,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184933,,
23184937,,09:00-11:00=high|13:00-15:00=medium|17:00-19:00=high
23184940,,
23184953,,
23184976,,
23185012,,
23185019,,
23185023,,
23185063,,
23185084,,
23185090,,
23185096,,
23185097,,
23185099,,
23185107,,
23185108,,
23185109,,
23185111,,
23185112,,
23185116,,
23199924,,
23199927,,
23199931,,
23199934,,
23199936,,
23199937,,
23199938,,
23199941,,
23199945,,
23199947,,
23199949,,
23199951,,
23199957,,
23199968,,
23199971,,
23199978,,
23200007,,
23200009,,
23200010,,
23200015,,
23200018,,
23200019,,
23200029,,
23200030,,
23200035,,
23200036,,
23200058,,
23200061,,
23200065,,
23200067,,
23200072,,
23200074,,
23200086,,
23200093,,
23200095,,
23200097,,
23200099,,
23200100,,
23200103,,
23200104,,
23200109,,
23200120,,
23200121,,
23200124,,
23200128,,
23200137,,
23200139,,
23200140,,
23200143,,
23200242,,
23207659,,
23207671,,
23207689,,
23207696,,
23207700,,
23207701,,
23207702,,
23207707,,
23207709,,
23207716,,
23207723,,
23207724,,
23207727,,
23207729,,
23207731,,
23207733,,
23207737,,
23207757,,
23207758,,
23207760,,
23207763,,
23207778,,
23207785,,
23207787,,
23207790,,
23207799,,
23207821,,
23207823,,
23207829,,
23207833,,
23211460,,
23211462,,
23211463,,
23211465,,
23211472,,
23211476,,
23211479,,
23211480,,
23211481,,
23211482,,
23211484,,
23211486,,
23211487,,
23211490,,
23211495,,
